City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Torbay,47.6666,-52.7314,28.99,93,90,16.11,CA,1612066840
Husavik,66.0449,-17.3389,15.8,73,90,8.05,IS,1612067000
Norman Wells,65.282,-126.8329,-23.8,69,75,4.14,CA,1612067000
Batagay,67.6333,134.6333,-44.68,77,72,1.41,RU,1612067000
Jamestown,42.097,-79.2353,19.4,73,90,8.05,US,1612067000
Sur,22.5667,59.5289,71.78,42,0,1.01,OM,1612067000
Sanming,26.2486,117.6186,73.58,37,0,1.36,CN,1612067001
Punta Arenas,-53.15,-70.9167,48.2,71,0,25.32,CL,1612066930
Piripiri,-4.2733,-41.7769,73.42,91,100,0.94,BR,1612067001
Cape Town,-33.9258,18.4232,70.0,82,75,9.22,ZA,1612066758
Berlevåg,70.8578,29.0864,25.18,96,100,19.91,NO,1612067001
Kruisfontein,-34.0033,24.7314,57.0,92,0,1.99,ZA,1612067001
Bathsheba,13.2167,-59.5167,78.8,73,20,21.85,BB,1612066727
San Patricio,28.017,-97.5169,69.8,94,20,5.75,US,1612067001
Ushuaia,-54.8,-68.3,48.2,61,0,9.22,AR,1612066711
Upernavik,72.7868,-56.1549,-9.38,85,84,4.27,GL,1612067002
Ilhabela,-23.7781,-45.3581,77.59,77,93,2.35,BR,1612067002
Esperance,-33.8667,121.9,84.2,26,0,8.05,AU,1612066740
Bethel,41.3712,-73.414,17.01,72,1,3.44,US,1612067002
Sørland,67.667,12.6934,29.95,87,63,5.48,NO,1612067002
Hobart,-42.8794,147.3294,73.0,52,40,14.97,AU,1612066922
Dingle,10.9995,122.6711,81.63,73,85,16.91,PH,1612067002
Cidreira,-30.1811,-50.2056,75.18,90,96,8.01,BR,1612066715
Guayaramerín,-10.8368,-65.3614,74.39,96,99,1.59,BO,1612066881
Katete,-0.7818,29.7544,62.29,77,99,2.91,UG,1612067003
Vostok,46.4856,135.8833,-6.32,84,18,5.82,RU,1612067003
Rikitea,-23.1203,-134.9692,79.32,74,2,10.94,PF,1612067003
Inhambane,-23.865,35.3833,78.8,89,20,2.3,MZ,1612066873
Mar del Plata,-38.0023,-57.5575,60.01,58,75,17.27,AR,1612066965
High Prairie,55.4334,-116.4858,8.6,85,39,4.38,CA,1612067003
Vaini,-21.2,-175.2,75.2,94,90,9.22,TO,1612067003
Avera,33.194,-82.5271,44.6,87,1,5.75,US,1612066714
Ilulissat,69.2167,-51.1,8.6,66,90,2.3,GL,1612066737
Lavrentiya,65.5833,-171.0,-13.07,85,68,8.68,RU,1612067004
Faanui,-16.4833,-151.75,82.42,67,97,5.93,PF,1612067004
Alcañiz,41.05,-0.1333,52.0,66,62,8.01,ES,1612067004
Roebourne,-20.7833,117.1333,97.92,34,93,6.8,AU,1612067004
São João da Barra,-21.6403,-41.0511,76.69,83,7,19.48,BR,1612066749
Bluff,-46.6,168.3333,57.92,75,98,10.74,NZ,1612066934
Octeville,49.6261,-1.6435,44.01,100,90,14.94,FR,1612067005
Astoria,46.1879,-123.8313,45.0,93,75,9.22,US,1612067005
Kuala Terengganu,5.3302,103.1408,82.4,78,40,8.05,MY,1612067005
Ngunguru,-35.6167,174.5,73.0,54,0,11.99,NZ,1612067005
